
Unnamed: 0,ID,Park Name,ADDRESS,City,LATITUDE,LONGITUDE,Lights,price_per_hour,created_by,created_at,image_url
109,109,Tennis Court Pondok Cabe Golf Timur 2,"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan RT 1/RW 12 Kav. 3",Tangerang,-6.337332522883875,106.76065751357883,Yes,215000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
110,110,Tennis Court Pondok Cabe Golf Timur Sports (2),"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan Blok C Kav. 7",Tangerang,-6.341816103725839,106.74888849150874,Yes,165000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
111,111,Lapangan Tenis GBK,"Kompleks Gelora Bung Karno, Jl. Pintu Satu Senayan, Jakarta Pusat",Jakarta,-6.2189,106.8021,Yes,200000,import,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
112,112,Tennis Court Pondok Cabe Golf Timur,"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan RT 1/RW 12",Tangerang,-6.337356714593024,106.74818445145188,Yes,195000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
113,113,Tennis Court Pondok Cabe Golf 2 (2),"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan Blok B",Tangerang,-6.318404758952141,106.73482964548856,Yes,170000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
114,114,Tennis Raflesia Taman Yasmin,"Taman Yasmin, Kota Bogor",Bogor,-6.565,106.774,No,100000,import,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
115,115,Anwa Puri Sport Club (Lapangan Tenis),"Jl. Taman Palem Raya, Meruya Selatan, Kembangan, Jakarta Barat",Jakarta,-6.2015,106.737,Yes,150000,import,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
116,116,Jakarta Tennis Academy Arena,"Kebon Jeruk, Jakarta Barat Kav. 3",Jakarta,-6.217725799568169,106.76200996474182,Yes,200000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
117,117,Lapangan Tennis TC7 Timur 2 (2),"Jl. Masjid No.12, Jatikramat, Jatiasih, Kota Bekasi Kav. 7 Kav. 9",Bekasi,-6.282336941999549,106.96000201764826,No,80000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
118,118,Tennis Court Pondok Cabe Golf Timur Tennis,"Kompleks Pondok Cabe Golf, Pondok Cabe Udik, Pamulang, Tangerang Selatan Blok C No. 53",Tangerang,-6.334011397964203,106.74944540070103,Yes,170000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
119,119,Lapangan Tennis Griya Depok Asri (GDA) Utara Club,"Griya Depok Asri Blok A1, Mekarjaya, Sukmajaya, Depok Blok C RT 9/RW 4",Depok,-6.3988128979428005,106.83603983714956,Yes,140000,augment,2025-10-22,"https://source.unsplash.com/1600x900/?tennis,court"
